,epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
183,23,2020-06-03,23,MG,Guapé,3128105.0,city,3,21.06002,0,0,0,0.0,14245.0,True,False
184,23,2020-06-03,51,MG,Guaranésia,3128303.0,city,1,5.25735,0,0,0,0.0,19021.0,True,False
185,23,2020-06-03,19,MG,Guarará,3128501.0,city,1,26.34352,0,0,0,0.0,3796.0,True,False
186,23,2020-06-03,48,MG,Guaxupé,3128709.0,city,24,46.22763,2,0,0,0.0,51917.0,True,False
187,23,2020-06-03,69,MG,Guimarânia,3128907.0,city,2,24.87872,0,0,0,0.0,8039.0,True,False
188,23,2020-06-03,13,MG,Heliodora,3129202.0,city,4,60.994209999999995,1,0,0,0.0,6558.0,True,False
189,23,2020-06-03,14,MG,Iapu,3129301.0,city,9,81.78844000000001,0,1,0,0.1111,11004.0,True,False
190,23,2020-06-03,13,MG,Ibiá,3129509.0,city,5,19.84206,0,0,0,0.0,25199.0,True,False
191,23,2020-06-03,36,MG,Ibiaí,3129608.0,city,1,11.91185,0,0,0,0.0,8395.0,True,False
192,23,2020-06-03,54,MG,Ibirité,3129806.0,city,44,24.41677,3,1,0,0.0227,180204.0,True,False
193,23,2020-06-03,35,MG,Icaraí de Minas,3130051.0,city,1,8.34028,0,0,0,0.0,11990.0,True,False
194,23,2020-06-03,33,MG,Igarapé,3130101.0,city,19,44.13985,0,0,0,0.0,43045.0,True,False
195,23,2020-06-03,19,MG,Igaratinga,3130200.0,city,1,9.2081,0,0,0,0.0,10860.0,True,False
196,23,2020-06-03,1,MG,Ijaci,3130408.0,city,1,15.267179999999998,1,0,0,0.0,6550.0,True,False
197,23,2020-06-03,28,MG,Ilicínea,3130507.0,city,1,8.080810000000001,0,0,0,0.0,12375.0,True,False
198,23,2020-06-03,39,MG,Imbé de Minas,3130556.0,city,1,14.486460000000001,0,0,0,0.0,6903.0,True,False
199,23,2020-06-03,75,MG,Importados/Indefinidos,,city,219,,20,5,0,0.0228,,True,False
200,23,2020-06-03,19,MG,Inconfidentes,3130606.0,city,2,27.292579999999997,0,0,0,0.0,7328.0,True,False
201,23,2020-06-03,8,MG,Ingaí,3130804.0,city,5,180.70112,0,0,0,0.0,2767.0,True,False
202,23,2020-06-03,21,MG,Inhapim,3130903.0,city,2,8.285,0,0,0,0.0,24140.0,True,False
203,23,2020-06-03,57,MG,Ipaba,3131158.0,city,13,69.86618,5,0,0,0.0,18607.0,True,False
204,23,2020-06-03,9,MG,Ipanema,3131208.0,city,8,40.27995,0,0,0,0.0,19861.0,True,False
205,23,2020-06-03,84,MG,Ipatinga,3131307.0,city,282,107.05743999999999,24,3,1,0.0106,263410.0,True,False
206,23,2020-06-03,41,MG,Ipiaçu,3131406.0,city,1,23.69107,0,1,0,1.0,4221.0,True,False
207,23,2020-06-03,54,MG,Ipuiúna,3131505.0,city,1,9.921619999999999,0,0,0,0.0,10079.0,True,False
208,23,2020-06-03,62,MG,Itabira,3131703.0,city,316,263.20173,60,1,0,0.0032,120060.0,True,False
209,23,2020-06-03,26,MG,Itabirito,3131901.0,city,53,102.16866999999999,25,1,0,0.0189,51875.0,True,False
210,23,2020-06-03,32,MG,Itacarambi,3132107.0,city,4,22.03493,1,0,0,0.0,18153.0,True,False
211,23,2020-06-03,48,MG,Itaguara,3132206.0,city,5,37.43075,0,0,0,0.0,13358.0,True,False
212,23,2020-06-03,19,MG,Itaipé,3132305.0,city,1,7.836989999999999,0,0,0,0.0,12760.0,True,False
213,23,2020-06-03,55,MG,Itajubá,3132404.0,city,31,32.001979999999996,3,1,0,0.0323,96869.0,True,False
214,23,2020-06-03,17,MG,Itamarati de Minas,3132602.0,city,6,137.77268,0,0,0,0.0,4355.0,True,False
215,23,2020-06-03,26,MG,Itambacuri,3132701.0,city,4,17.23321,0,2,0,0.5,23211.0,True,False
216,23,2020-06-03,16,MG,Itamogi,3132909.0,city,2,19.62323,0,0,0,0.0,10192.0,True,False
217,23,2020-06-03,39,MG,Itamonte,3133006.0,city,43,276.01257999999996,12,0,0,0.0,15579.0,True,False
218,23,2020-06-03,56,MG,Itanhandu,3133105.0,city,23,150.02283,0,0,0,0.0,15331.0,True,False
219,23,2020-06-03,46,MG,Itaobim,3133303.0,city,5,23.73944,0,0,0,0.0,21062.0,True,False
220,23,2020-06-03,55,MG,Itapecerica,3133501.0,city,15,68.92749,0,0,0,0.0,21762.0,True,False
221,23,2020-06-03,58,MG,Itapeva,3133600.0,city,7,71.55269,0,1,0,0.1429,9783.0,True,False
222,23,2020-06-03,36,MG,Itatiaiuçu,3133709.0,city,9,80.74646,0,0,0,0.0,11146.0,True,False
223,23,2020-06-03,28,MG,Itaú de Minas,3133758.0,city,3,18.62429,0,0,0,0.0,16108.0,True,False
224,23,2020-06-03,49,MG,Itaúna,3133808.0,city,17,18.2376,1,0,0,0.0,93214.0,True,False
225,23,2020-06-03,8,MG,Itinga,3134004.0,city,3,20.01334,1,0,0,0.0,14990.0,True,False
226,23,2020-06-03,54,MG,Ituiutaba,3134202.0,city,19,18.15211,0,2,0,0.1053,104671.0,True,False
227,23,2020-06-03,30,MG,Itumirim,3134301.0,city,2,33.20604,0,0,0,0.0,6023.0,True,False
228,23,2020-06-03,54,MG,Jaboticatubas,3134608.0,city,103,511.34389000000004,3,1,0,0.0097,20143.0,True,False
